t_s,dtw_relaxed,dtw_close,dtw_open
0.514,406.16,2933.17,772.95
0.557,422.73,2929.10,770.46
0.589,422.52,2939.89,780.54
0.640,446.31,2918.16,776.47
0.685,440.82,2930.80,782.22
0.736,457.67,2909.76,763.84
0.780,456.66,2905.85,759.19
0.825,461.23,2883.49,743.68
0.875,469.85,2857.88,730.60
0.918,467.72,2850.35,719.84
0.967,481.41,2843.03,716.97
1.011,397.17,2798.07,714.65
1.061,498.87,2797.87,715.79
1.102,492.59,2811.36,718.00
1.149,511.33,2806.22,717.88
1.199,504.05,2801.22,717.81
1.243,517.30,2799.84,716.27
1.293,513.82,2792.32,708.06
1.336,514.58,2779.24,695.67
1.387,526.10,2775.54,694.35
1.432,503.61,2743.63,685.46
1.478,533.86,2738.60,687.82
1.522,523.68,2708.07,662.72
1.571,551.49,2724.82,654.84
1.619,537.10,2739.01,643.31
1.664,551.55,2771.83,657.07
1.715,541.50,2786.31,683.04
1.758,550.73,2816.12,727.27
1.805,549.16,2822.73,737.53
1.852,547.63,2826.85,739.71
1.897,555.39,2825.23,738.12
1.944,532.33,2775.78,732.65
1.990,557.57,2733.95,616.88
2.041,493.97,3060.51,905.70
2.084,567.56,3057.75,889.51
2.130,551.43,3057.18,872.75
2.179,570.38,3053.34,851.10
2.226,562.06,3082.75,833.08
2.274,561.38,3082.94,810.42
2.320,564.11,3065.81,799.55
2.369,556.55,3063.18,785.93
2.413,568.76,3068.39,777.27
2.460,550.85,3068.17,763.96
2.507,569.43,3065.58,753.44
2.552,535.50,3071.53,750.21
2.600,566.44,3051.72,732.29
2.646,553.39,3033.88,715.26
2.696,572.19,3022.71,706.65
2.739,564.15,3015.96,704.64
2.786,564.70,3008.69,700.28
2.833,569.54,3003.38,696.29
2.879,558.29,2998.97,695.67
2.930,575.70,2993.31,693.55
2.974,564.68,2988.23,688.63
3.024,584.35,2980.98,680.21
3.067,569.23,2974.29,675.33
3.118,586.59,2969.04,667.53
3.164,573.41,2958.86,662.13
3.208,598.41,2954.27,657.81
3.256,584.80,2952.44,654.83
3.302,598.38,2951.28,650.01
3.352,593.32,2951.19,653.42
3.395,596.98,2948.52,656.28
3.441,607.18,2967.21,668.87
3.488,596.94,2974.92,674.04
3.534,616.16,2975.93,671.45
3.584,601.25,2980.07,673.82
3.629,619.63,2987.64,675.81
3.680,600.66,2990.54,678.57
3.723,630.85,2992.49,684.91
3.771,604.66,2997.86,686.95
3.817,643.53,2997.50,683.65
3.862,646.61,3000.61,683.87
3.910,651.16,3003.96,688.08
3.955,664.65,3011.02,689.82
4.005,677.45,3019.57,688.55
4.048,700.13,3011.00,676.82
4.115,678.37,2997.73,672.98
4.149,684.79,2980.17,658.95
4.203,664.32,2963.94,646.59
4.251,669.95,2951.43,638.68
4.295,658.10,2949.46,642.18
4.344,652.98,2943.56,641.58
4.389,645.93,2940.13,643.60
4.440,634.31,2922.73,619.84
4.483,632.59,2912.24,610.78
4.529,612.93,2888.85,588.41
4.578,620.34,2882.11,586.11
4.624,596.66,2870.43,579.32
4.672,601.42,2863.66,580.48
4.718,578.04,2857.31,583.22
4.766,578.40,2846.08,573.25
4.810,537.69,2836.30,565.48
4.856,514.08,2824.77,564.42
4.904,479.85,2817.38,564.97
4.949,493.37,2809.20,559.81
4.997,476.97,2805.33,558.89
5.041,476.26,2800.72,555.53
5.094,463.17,2800.67,557.23
5.137,434.30,2803.72,559.23
5.184,450.03,2804.28,566.10
5.232,423.56,2803.86,570.10
5.276,424.74,2803.33,570.83
5.325,415.50,2802.02,572.63
5.372,408.86,2804.49,575.79
5.466,396.09,2817.56,592.26
5.512,397.54,2812.32,593.94
5.560,385.95,2840.95,604.23
5.604,394.35,2831.01,610.64
5.652,367.38,2854.93,616.05
5.698,384.40,2857.04,628.85
5.748,361.02,2895.71,669.49
5.791,373.46,2908.99,687.73
5.840,360.25,2931.06,705.10
5.877,360.07,2956.24,695.75
5.934,358.95,2950.72,685.26
5.983,356.15,2945.22,673.25
6.027,358.54,2954.96,656.46
6.078,351.35,2949.89,636.24
6.113,366.70,2928.70,629.24
6.167,348.96,2935.44,612.99
6.215,372.86,2939.89,603.08
6.258,361.54,2955.97,602.52
6.308,382.36,2977.71,604.66
6.353,378.30,2963.62,605.60
6.404,391.83,2944.26,604.22
6.448,391.40,2938.31,596.49
6.493,392.26,2924.26,595.75
6.542,404.04,2924.23,613.83
6.587,402.01,2912.41,614.00
6.635,410.41,2885.19,617.02
6.681,406.24,2875.26,611.75
6.731,427.91,2873.43,635.95
6.775,412.16,2851.14,618.88
6.822,423.48,2831.43,612.31
6.871,413.46,2826.95,606.86
6.916,413.39,2808.61,584.42
6.963,411.37,2788.72,568.97
7.009,407.06,2778.42,554.85
7.058,391.14,2772.13,565.74
7.101,365.03,2782.06,585.51
7.152,378.02,2782.87,595.35
7.196,350.95,2778.54,610.56
7.242,363.42,2778.29,613.82
7.291,342.56,2775.99,627.24
7.337,344.10,2770.11,633.39
7.387,339.78,2761.15,630.69
7.430,335.23,2761.71,625.87
7.477,330.97,2758.88,621.63
7.522,325.90,2752.57,610.97
7.569,329.48,2749.14,604.55
7.619,314.31,2747.25,599.59
7.662,318.94,2747.14,595.27
7.712,311.15,2739.56,586.66
7.755,307.70,2727.54,585.34
7.801,304.72,2721.58,583.94
7.849,295.64,2720.83,579.66
