t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.414,325.21,2837.94,1752.76,12.7,IDLE,open,
0.462,339.41,2846.39,1746.63,15.9,IDLE,open,
0.493,333.47,2806.77,1755.29,15.2,IDLE,open,
0.534,337.32,2851.18,1776.28,14.2,IDLE,open,
0.583,334.90,2858.35,1772.83,13.8,IDLE,open,
0.631,338.31,2868.04,1771.79,11.0,IDLE,open,
0.667,342.92,2857.92,1717.79,10.2,IDLE,open,
0.725,320.53,2858.62,1754.89,9.5,IDLE,open,
0.761,330.65,2892.94,1726.96,8.8,IDLE,open,
0.814,294.13,2896.90,1748.29,7.0,IDLE,open,
0.861,310.31,2897.67,1735.51,6.7,IDLE,open,
0.901,296.52,2860.19,1749.33,4.5,IDLE,open,
0.952,303.58,2871.10,1749.25,5.4,IDLE,open,
0.996,296.91,2824.42,1762.32,7.9,IDLE,open,
1.052,312.89,2843.81,1688.56,14.4,IDLE,open,
1.097,303.81,2835.39,1660.75,16.5,IDLE,open,
1.144,312.39,2840.78,1653.41,16.2,IDLE,open,
1.189,305.60,2871.84,1671.92,12.5,IDLE,open,
1.240,296.32,2881.37,1667.49,7.4,IDLE,open,
1.283,305.98,2876.96,1697.60,2.5,IDLE,open,
1.332,293.80,2808.06,1689.79,8.4,IDLE,open,
1.373,321.87,2805.21,1665.36,18.4,IDLE,open,
1.422,308.68,2663.56,1602.29,28.6,IDLE,open,
1.469,358.64,2561.10,1589.73,38.5,IDLE,open,
1.516,348.41,2531.10,1581.57,43.4,PULSE,open,
1.565,388.24,2507.22,1592.33,46.5,PULSE,open,
1.609,387.28,2507.37,1585.43,46.1,PULSE,open,
1.655,407.37,2492.18,1578.75,44.0,PULSE,open,
1.702,421.72,2485.15,1583.47,41.9,PULSE,open,
1.748,425.73,2482.54,1580.41,40.3,PULSE,open,
1.795,460.81,2469.48,1577.53,41.5,PULSE,open,
1.843,453.89,2441.71,1587.75,43.5,PULSE,open,
1.894,492.82,2444.16,1574.36,42.2,PULSE,open,
1.937,469.15,2441.67,1468.15,30.6,PULSE,open,
1.983,475.89,2392.49,1420.11,21.8,REFRACTORY,open,
2.030,410.04,2340.57,1421.21,10.9,REFRACTORY,open,
2.075,454.71,2332.58,1433.14,3.8,REFRACTORY,open,
2.122,405.53,2332.72,1441.71,3.6,REFRACTORY,open,
2.170,421.13,2343.37,1451.84,6.1,REFRACTORY,open,
2.225,384.96,2337.01,1449.13,10.1,REFRACTORY,open,
2.265,375.77,2333.68,1394.23,16.3,REFRACTORY,open,
2.316,379.74,2331.18,1326.55,22.8,REFRACTORY,open,
2.361,367.40,2335.15,1286.52,30.6,REFRACTORY,open,
2.408,380.68,2329.72,1270.02,33.9,REFRACTORY,open,
2.453,375.63,2297.41,1253.38,36.7,REFRACTORY,open,
2.499,387.60,2261.72,1246.07,38.9,REFRACTORY,open,
2.549,377.84,2257.92,1243.32,38.4,REFRACTORY,open,
2.592,393.43,2255.71,1239.83,39.0,REFRACTORY,open,
2.642,381.68,2229.93,1238.14,40.9,REFRACTORY,open,
2.689,393.41,2230.60,1241.58,40.0,REFRACTORY,open,
2.735,389.15,2223.63,1241.34,41.6,REFRACTORY,open,
2.782,402.68,2221.22,1246.93,41.2,REFRACTORY,open,
2.829,408.86,2225.87,1240.02,40.4,REFRACTORY,open,
2.880,402.43,2225.95,1246.05,35.9,REFRACTORY,open,
2.915,408.42,2239.73,1243.86,33.9,REFRACTORY,open,
