t_s,dtw_relaxed,dtw_close,env,fsm,gripper,fired
0.423,572.35,2533.52,81.8,PULSE,open,
0.471,597.05,2553.90,85.7,PULSE,open,
0.507,614.89,2526.40,86.7,PULSE,open,
0.554,665.39,2537.08,86.0,PULSE,open,
0.597,677.04,2538.18,82.5,PULSE,open,
0.634,728.31,2593.12,81.4,PULSE,open,
0.692,722.91,2587.91,78.9,PULSE,open,
0.735,799.36,2560.89,75.9,PULSE,open,
0.783,802.48,2532.11,74.0,PULSE,open,
0.829,842.46,2510.40,73.6,PULSE,open,
0.877,861.91,2457.71,68.4,PULSE,open,
0.921,888.07,2409.68,66.1,PULSE,open,
0.968,916.49,2345.32,61.2,PULSE,open,
1.021,925.51,2305.44,57.2,PULSE,open,
1.062,956.22,2241.06,52.3,PULSE,open,
1.111,958.77,2171.86,46.6,PULSE,open,
1.157,994.23,2120.76,42.7,PULSE,open,
1.206,881.62,2118.74,37.8,PULSE,open,
1.249,744.64,2180.07,29.5,PULSE,open,
1.295,688.13,2193.54,25.1,PULSE,open,
1.343,528.93,2214.00,16.1,REFRACTORY,open,
1.387,593.85,2222.11,14.4,REFRACTORY,open,
1.437,405.21,2237.09,12.1,REFRACTORY,open,
1.476,563.48,2231.00,10.1,REFRACTORY,open,
1.524,441.13,2241.77,9.3,REFRACTORY,open,
1.573,542.59,2251.31,9.9,REFRACTORY,open,
1.623,451.84,2264.68,10.2,REFRACTORY,open,
1.669,548.59,2247.19,11.0,REFRACTORY,open,
1.777,511.79,2214.20,19.9,REFRACTORY,open,
1.826,415.10,2177.12,23.2,REFRACTORY,open,
1.874,515.40,2122.00,28.2,REFRACTORY,open,
1.919,509.07,2104.33,29.9,REFRACTORY,open,
1.967,518.69,2050.77,34.7,REFRACTORY,open,
2.010,523.75,2562.33,37.2,REFRACTORY,open,
2.058,469.81,2539.37,40.8,REFRACTORY,open,
2.106,528.70,2568.46,43.7,REFRACTORY,open,
2.151,378.71,2567.49,48.4,REFRACTORY,open,
2.199,549.17,2571.09,51.1,REFRACTORY,open,
2.247,410.34,2601.02,53.9,REFRACTORY,open,
2.295,561.27,2581.73,57.3,REFRACTORY,open,
2.340,470.05,2751.02,57.8,REFRACTORY,open,
2.386,590.06,2884.95,59.8,REFRACTORY,open,
2.433,593.99,2972.72,63.8,REFRACTORY,open,
2.481,636.31,2979.66,66.3,REFRACTORY,open,
2.524,642.29,2982.73,64.0,REFRACTORY,open,
2.575,660.21,2983.17,66.3,REFRACTORY,open,
2.624,671.77,2992.68,67.7,REFRACTORY,open,
2.667,583.18,2991.55,67.9,REFRACTORY,open,
2.714,704.92,2944.04,68.2,REFRACTORY,open,
2.760,556.25,2889.54,69.8,REFRACTORY,open,
2.806,750.34,2844.94,71.0,REFRACTORY,open,
2.855,631.85,2790.91,70.4,REFRACTORY,open,
2.903,768.79,2743.05,73.1,REFRACTORY,open,
2.950,691.55,2698.60,74.2,REFRACTORY,open,
2.993,827.20,2668.03,74.1,REFRACTORY,open,
3.040,829.78,2627.84,71.0,REFRACTORY,open,
3.087,819.18,2590.00,68.3,REFRACTORY,open,
3.133,865.96,2557.96,68.2,REFRACTORY,open,
3.183,784.84,2534.26,66.1,REFRACTORY,open,
3.230,887.99,2482.31,62.0,REFRACTORY,open,
3.279,745.84,2465.96,62.1,REFRACTORY,open,
3.321,925.99,2434.47,60.7,REFRACTORY,open,
3.369,768.89,2395.99,55.8,REFRACTORY,open,
3.417,928.53,2375.71,52.6,REFRACTORY,open,
3.462,821.36,2359.12,51.2,REFRACTORY,open,
